          	                             f_1	                             f_2	                             f_3	                             f_4	                             f_5	                             f_6	                             f_7	                             f_8	                             f_9	                            f_10
          	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      f_1|	00000000000000000000000000000000	00000000000000000000000000000000	11101111111101111111111011101111	11111111111111111111111011101111	00000000000000000000000000000000	00000000000000000000000000000000	11111111111111111111111111101111	00000000000000000000000000000000	00000000000000000000000000000000	11111111111111111111111111111111	11111111111111111111111111111111
      f_2|	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000
      f_3|	11111111111111111111111111111111	00000000000000000000000000000000	00000000000000000000000000000000	11111111111111111111111111111111	11111111111111111111111111111111	11111111111111111111111111111111	00000000000000000000000000000000	11111111111111111111111111111111	00000000000000000000000000000000	11111111111111111111111111111111	11111111111111111111111111111111
      f_4|	11101111111111101110110111011011	00000000000000000000000000000000	11101111111111111111110111011011	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	11111111111111111111111111111111	11111111111111111111111111111111	11111111111111111111111111111111	11111111111111111111111111111111
      f_5|	00000000000000000000000000000001	00000000000000000000000000000000	00000000000000000000000000000001	00000000000000000000000000000001	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000001	00000000000000000000000000000000	00000000000000000000000000000001	00000000000000000000000000000001
      f_6|	00000000000000000000000000000001	00000000000000000000000000000000	00000000000000000000000000000001	00000000000000000000000000000001	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000001	00000000000000000000000000000000	00000000000000000000000000000001	00000000000000000000000000000001
      f_7|	00000000000000000000000000000000	00000000000000000000000000000000	11111111111111111111111111111111	11111111111111111111111111111111	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	11111111111111111111111111111111	11111111111111111111111111111111
      f_8|	10001010000010111000011110001011	00000000000000000000000000000000	11101010000111111011111110001011	11101010000111111111111110001011	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	11101010011111111111111110111011	11111111111111111111111111111111
      f_9|	01101111111110011111111111011111	00000000000000000000000000000000	11111111111110011111111111011111	11111111111110111111111111111111	11111111111111111111111111111111	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	11111111111111111111111111111111	11111111111111111111111111111111
     f_10|	00101000010010000001000111000010	00000000000000000000000000000000	00111100111011010001001111001011	00111100111111010001001111001011	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00111100111111011101001111001111	00111110111111111101001111011111	00000000000000000000000000000000	01111111111111111111111111111111
